Metric,Value
Total Return,0.031810642013061496
Benchmark Return,2.73846669912093
Excess Return,-2.7066560571078684
Volatility,0.010157639002422954
Sharpe Ratio,1.4176465471920934
Max Drawdown,-0.011712425893212065
Total Trades,13.0
Win Rate,0.5
Average Win,0.3348903060874057
Average Loss,-0.08677595223707309
Profit Factor,3.8592524478726644
